Benchmark botów (B0) — deterministyczny, ADR 0005
boty: aggro, heuristic, random | talie: 12 | seedy: 4 (baza 2026) | limit komend: 8000

== aggro vs heuristic ==
  aggro 38.1% (238/624) | heuristic 61.9% (386/624)
  niedokończone: 0 | śr. 19.21 tury | śr. 447.3 komend
    azorius | azorius                             aggro 25.0% (2/8) | heuristic 75.0% (6/8)
    azorius | black                               aggro 25.0% (2/8) | heuristic 75.0% (6/8)
    azorius | graveyard                           aggro 12.5% (1/8) | heuristic 87.5% (7/8)
    azorius | green                               aggro 12.5% (1/8) | heuristic 87.5% (7/8)
    azorius | innistrad                           aggro 25.0% (2/8) | heuristic 75.0% (6/8)
    azorius | mechanicy                           aggro 37.5% (3/8) | heuristic 62.5% (5/8)
    azorius | ostrza                              aggro 12.5% (1/8) | heuristic 87.5% (7/8)
    azorius | red                                 aggro 25.0% (2/8) | heuristic 75.0% (6/8)
    azorius | sojusznicy                          aggro 0.0% (0/8) | heuristic 100.0% (8/8)
    azorius | spellslinger                        aggro 37.5% (3/8) | heuristic 62.5% (5/8)
    azorius | tokens                              aggro 25.0% (2/8) | heuristic 75.0% (6/8)
    azorius | wiedzmin                            aggro 0.0% (0/8) | heuristic 100.0% (8/8)
    black | black                                 aggro 37.5% (3/8) | heuristic 62.5% (5/8)
    black | graveyard                             aggro 25.0% (2/8) | heuristic 75.0% (6/8)
    black | green                                 aggro 37.5% (3/8) | heuristic 62.5% (5/8)
    black | innistrad                             aggro 62.5% (5/8) | heuristic 37.5% (3/8)
    black | mechanicy                             aggro 62.5% (5/8) | heuristic 37.5% (3/8)
    black | ostrza                                aggro 50.0% (4/8) | heuristic 50.0% (4/8)
    black | red                                   aggro 62.5% (5/8) | heuristic 37.5% (3/8)
    black | sojusznicy                            aggro 50.0% (4/8) | heuristic 50.0% (4/8)
    black | spellslinger                          aggro 87.5% (7/8) | heuristic 12.5% (1/8)
    black | tokens                                aggro 0.0% (0/8) | heuristic 100.0% (8/8)
    black | wiedzmin                              aggro 0.0% (0/8) | heuristic 100.0% (8/8)
    graveyard | graveyard                         aggro 37.5% (3/8) | heuristic 62.5% (5/8)
    graveyard | green                             aggro 62.5% (5/8) | heuristic 37.5% (3/8)
    graveyard | innistrad                         aggro 75.0% (6/8) | heuristic 25.0% (2/8)
    graveyard | mechanicy                         aggro 75.0% (6/8) | heuristic 25.0% (2/8)
    graveyard | ostrza                            aggro 50.0% (4/8) | heuristic 50.0% (4/8)
    graveyard | red                               aggro 87.5% (7/8) | heuristic 12.5% (1/8)
