Ilustracja,Nazwa Karty,Plan
1LTR,Dunland Crebain,Śródziemie
2BFZ,Coralhelm Guide,Zendikar
3CLB,Nefarious Imp,Forgotten Realms
4ELD,Mystic Sanctuary,Eldraine
5DOM,Academy Journeymage,Dominaria
6RTR,Azorius Justiciar,Ravnica
7TSP,Mindstab,Dominaria
8ALA,Goblin Deathraiders,Alara
9WAR,Toll of the Invasion,Ravnica
10DTK,Servant of the Scale,Tarkir
11THB,Sleep of the Dead,Theros
12AER,Merchant's Dockhand,Kaladesh
13M20,Soulmender,Śródziemie
14SNC,Crew Captain,New Capenna
15FIN,"Tellah, Great Sage",Final Fantasy
16M15,Brawler's Plate,Warhammer Fantasy
17ISD,Selhoff Occultist,Innistrad
18DFT,Lotusguard Disciple,Amonkhet
19_8ED,Twiddle,Wiedźmin
20TDM,Jeskai Devotee,Tarkir
21THS,Pyxis of Pandemonium,Theros
22ORI,Titan's Strength,Theros
23FUS,The Mountain's Gaze,Śródziemie
24VOW,Lunar Rejection,Innistrad
25FUS,Edge of the Mute God,Forgotten Realms
26GTC,Ember Beast,Ravnica
27FUS,Dust from a Deeper Dark,Forgotten Realms
28FUS,Echo in the Mire,Forgotten Realms
29FIN,You're Not Alone,Final Fantasy
30FUS,Song of the Debt Unspoken,Forgotten Realms
31SOM,Carrion Call,Mirrodin
32FUS,Ignoble Revelation,Forgotten Realms
33_2XM,Fierce Empath,Śródziemie
34FUS,Debt Repaid in Ruin,Forgotten Realms
35MOM,Halo Forager,Eldraine
36ARB,Etherium Abomination,Alara
37M10,Howl of the Night Pack,Wiedźmin
38WAR,Liliana's Triumph,Ravnica
39MM2,Brute Force,Warhammer Fantasy
40USG,Expunge,Dominaria
41GRN,Severed Strands,Ravnica
42ISD,Murder of Crows,Innistrad
43HOP,Kor Sanctifiers,Zendikar
44CLB,Underdark Explorer,Forgotten Realms
45MH2,Piercing Rays,Ravnica
46RTR,Selesnya Charm,Ravnica
47MBS,Divine Offering,Mirrodin
48DSK,Raucous Carnival,Duskmourn
49CON,Unstable Frontier,Alara
50ISD,Dream Twist,Innistrad
51MH2,Deepwood Denizen,Śródziemie
52_2XM,Divest,Wiedźmin
53EOE,Illvoi Operative,The Edge
54FUS,The Warden's Network Seized,Śródziemie
55ARB,Etherwrought Page,Alara
56EOE,Diplomatic Relations,The Edge
57MKC,Veiled Ascension,Ravnica
58FUS,The Sentinel Above the Rift,Śródziemie
59FIN,Mysidian Elder,Final Fantasy
60FUS,Forged in Dragonfire,Dominaria
61DFT,Stall Out,Kaladesh
62AVR,Grounded,Innistrad
63FUS,Void-Fused Sliver,Dominaria
64FUS,Voidbreak Excavation,Dominaria
65STX,Curate,Arcavios
66FUS,The Feather on the Boundary Stone,Śródziemie
67FIN,Scorpion Sentinel,Final Fantasy
68KTK,Ainok Tracker,Tarkir
69M11,Tome Scour,Warhammer Fantasy
70FUS,Where the Roots Met the Light,Śródziemie
71SNC,Security Rhox,New Capenna
72APC,Dragon Arch,Dominaria
73MBS,Bladed Sentinel,Mirrodin
74KTK,Rush of Battle,Tarkir
75DMU,Phyrexian Rager,Dominaria
76M15,Negate,Warhammer Fantasy
77FUS,Lucid Rebuke,Wiedźmin
78ORI,Nightsnare,Wiedźmin
79OGW,Holdout Settlement,Zendikar
80FUS,Chorus of the Awakened Gear,Forgotten Realms
81TDM,Krotiq Nestguard,Tarkir
82FUS,Echo of the Awakened Gear,Forgotten Realms
83MM2,Gorehorn Minotaurs,Warhammer Fantasy
84M11,Garruk's Companion,Dominaria
85FUS,Debt Repaid in Bronze,Forgotten Realms
86FIN,Cloudbound Moogle,Final Fantasy
87ALA,Angelic Benediction,Alara
88FUS,Momentum Shattered,New Capenna
89MOR,Release the Ants,Lorwyn
90FUS,Kindled Precision,Lorwyn
91ISD,Curse of the Pierced Heart,Innistrad
92DTK,Silumgar Butcher,Tarkir
93ALA,Dispeller's Capsule,Alara
94TSP,Fortify,Dominaria
95TDM,Krumar Initiate,Tarkir
96SNC,Voice of the Vermin,New Capenna
97MRD,Great Furnace,Mirrodin
98FDN,Fleeting Distraction,Wiedźmin
99MH2,Steelfin Whale,Mirrodin
100EOE,Emissary Escort,The Edge
101AVR,Grave Exchange,Innistrad
102MM2,Fiery Fall,Alara
103THB,Sweet Oblivion,Theros
104DFT,Glitch Ghost Surveyor,Kaladesh
105NEO,Blade-Blizzard Kitsune,Kamigawa
106MOR,Mosquito Guard,Lorwyn
107ISD,Somberwald Spider,Innistrad
108WAR,Forced Landing,Ravnica
109ZNR,Relic Robber,Zendikar
110DVD,Serra's Embrace,Dominaria
111DOM,Final Parting,Dominaria
112ARB,Flurry of Wings,Alara
113AER,Welder Automaton,Kaladesh
114ODY,Fledgling Imp,Warhammer Fantasy
115M12,Merfolk Mesmerist,Wiedźmin
116MM2,Wrap in Flames,Warhammer Fantasy
117MID,Tireless Hauler,Innistrad
118MID,Dire-Strain Brawler,Innistrad
119DFT,Spin Out,Kaladesh
120ORI,Returned Centaur,Theros
121THB,Sea God's Scorn,Theros
122ISD,Blazing Torch,Innistrad
123TDM,Trade Route Envoy,Tarkir
124WAR,Courage in Crisis,Ravnica
125FUS,The Healer in the Shattered Grove,Śródziemie
126FUS,The Rat Finds the Broken Ward,New Capenna
127FUS,Balzano's Overdue Arrival,New Capenna
128ORI,Undead Servant,Dominaria
129FUS,The Rat Hit the Wall,New Capenna
130FUS,Unyielding Accord,New Capenna
131FUS,"Iron Wings, Stolen Words",Warhammer Fantasy
132GNT,Pilgrim's Eye,Zendikar
133THS,Breaching Hippocamp,Theros
134FUS,Ashen Standoff,Warhammer Fantasy
135FUS,Waaagh! Resonance,Warhammer Fantasy
136ALA,Bone Splinters,Alara
137GPT,Withstand,Ravnica
138FUS,Index of Ruin,Warhammer Fantasy
139FUS,Flesh-Wrought Reckoning,Warhammer Fantasy
140GRN,Boros Challenger,Ravnica
141FUS,The Final Index,Warhammer Fantasy
142FUS,Stillborn Reflection,Warhammer Fantasy
143ROE,Kabira Vindicator,Zendikar
144FUS,Claimant of Runed Flesh,Warhammer Fantasy
145FUS,Fool's Inspection,Warhammer Fantasy
146DTK,Palace Familiar,Tarkir
147FUS,Ossuary Reflection,Warhammer Fantasy
148FUS,Silence Beneath the Giant,Warhammer Fantasy
149FUS,After the Giant's Passing,Warhammer Fantasy
150FIN,"Balamb Garden, SeeD Academy",Final Fantasy
151FUS,Stellar Intrusion,Wiedźmin
152FUS,Glamour Overload,Wiedźmin
153FIN,"Balamb Garden, Airborne",Final Fantasy
154FUS,Drowned Dominion,Wiedźmin
155FUS,Trail of Stolen Dreams,Wiedźmin
156FUS,Thistledown-Tuned Harvester,Bloomburrow
157FUS,Stilt-Tended Beacon,Bloomburrow
158FUS,Agate-Scarred Beacon,Bloomburrow
159AVR,Predator's Gambit,Innistrad
160FUS,Mist-Bound Skaab,Innistrad
161FUS,Wald's Burden,Innistrad
162FUS,The Bell Finds the Sleeper,Innistrad
163ISD,Ghoulcaller's Bell,Innistrad
164FUS,Memory-Plucked Farmhand,Innistrad
165FUS,Reflection of the Damned,Innistrad
166WOE,Talion's Messenger,Eldraine
167FUS,The Healer Steps Aside,Śródziemie
168_2XM,Steel Sabotage,Mirrodin
169M20,Greenwood Sentinel,Śródziemie
